type,cityBuilding,area,years ,num_Buildings,occupancy,site_EUI,wn_Site_n_Gas_Use,wn_Site_Electricity,water_Use,target
K-12 School,1,38030,88,1,100,89.7,18930.2,448112.2,14033.5,230.1
K-12 School,1,284857,115,1,100,100.9,42848.1,2096199.9,27019,2138.7
K-12 School,1,206951,48,1,100,43.5,927,669999.9,7213.8,696.9
K-12 School,1,138175,64,1,100,74.4,364,521290.3,0,790.1
K-12 School,1,153725,67,1,100,81.2,4835,778239.9,1970.1,954.3
K-12 School,1,117725,58,1,100,81.1,541,469759.9,27329.9,732.5
K-12 School,1,159600,61,1,100,44.8,8593,796399.9,6759.1,545.1
K-12 School,1,201775,54,1,100,63.2,1183.1,923199.9,1074.4,987.4
K-12 School,1,109300,62,1,100,39.5,855,506390.8,7511,317.4
K-12 School,1,136800,69,1,100,51.1,2396,553172.7,0,539.2
K-12 School,1,90080,79,1,100,71.7,46199.5,441962.6,8707.1,397.4
K-12 School,1,146575,65,1,100,37.8,411.6,621599.9,4222.5,405.8
K-12 School,1,95145,98,1,100,93.2,45966.8,836472,6812.1,590.7
K-12 School,1,188400,64,1,100,39.8,194,593599.9,285.9,583.4
K-12 School,1,313980,109,1,100,58.7,633.7,1304389.9,13574.5,1303.8
K-12 School,1,408000,94,1,100,103.5,3743.5,2287407.8,42035.7,3245.1
K-12 School,1,111725,41,1,100,60,9,632799.9,655478.3,520.1
K-12 School,1,207109,36,1,100,57.5,4553.2,1432843.8,4829.2,925.6
K-12 School,1,75980,69,1,100,70.5,15711.9,1099199.8,10130,402.8
K-12 School,1,108080,57,1,100,67.3,455,539199.9,4257.8,564.3
K-12 School,1,54175,116,1,100,56.1,20323.2,235600,1249059.8,190.8
K-12 School,1,144125,107,1,100,54.8,57245.8,487839.9,5161,482
K-12 School,1,178000,108,1,100,54.2,53789.1,553199.9,3956.2,446.8
K-12 School,1,182400,94,1,100,76.1,11891.1,1848391.9,9945.8,1069.8
K-12 School,1,188575,116,1,100,65.1,2567.3,957599.9,4347789.8,949.3
K-12 School,1,382925,93,1,100,67.2,202447.5,1576792,0,1537.8
K-12 School,1,78000,41,1,100,61.7,22852.4,770822.5,2143.2,340.1
K-12 School,1,202975,28,1,100,67.2,1362,2041410.4,8817.4,1084.2
K-12 School,1,82880,21,1,100,65.7,20580.8,969775.8,3408.4,395.1
K-12 School,1,91200,21,1,100,82.9,33206.1,1009075.1,4910.6,526.8
K-12 School,1,34800,104,1,100,80.8,14496.5,275760,5117.7,187.8
K-12 School,1,93600,88,1,100,85.3,58689.9,248480,5210.1,477
K-12 School,1,135600,70,1,100,77.7,80783.1,492799.9,249,628.5
K-12 School,1,159600,64,1,100,62.3,58551.9,645199.9,6570.5,637.1
K-12 School,1,27600,130,1,100,63,11341.2,174800,2859.5,111.3
K-12 School,1,114000,111,1,100,67.8,39519.1,636479.9,4762,515.4
K-12 School,1,116400,88,1,100,64.3,51746.7,539999.9,7590.2,469.5
K-12 School,1,80400,119,1,100,45.8,20690.8,277080,6445.2,239.6
K-12 School,1,176400,51,1,100,56.1,1430,571599.9,13168.4,751.4
K-12 School,1,39600,119,1,100,76.3,15141,277840,8032.8,202
K-12 School,1,57180,86,1,100,56.1,20250.3,286800,2953.5,207.1
