type,cityBuilding,area,years ,num_Buildings,occupancy,site_EUI,wn_Site_n_Gas_Use,wn_Site_Electricity,water_Use,target
0n-Refrigerated Warehouse,0,104334,106,1,100,11.1,84,74575.5,84.5,88.5
K-12 School,1,107300,3,1,100,65.5,33730.1,1071999.9,7474.9,488.8
Multifamily Housing,0,1069698,50,4,95,81.9,716957.2,4829983.9,31510.9,5191.6
Multifamily Housing,0,1069698,50,4,95,81.9,716957.2,4829983.9,31510.9,5191.6
Self-Storage Facility,0,62549,3,1,100,14.5,2644,187981,660,68.4
K-12 School,0,241100,58,1,100,18.8,15190.1,897174.7,1558.2,337.8
Hotel,0,113969,96,1,90,120,73763.5,1817817.7,5313.4,925.1
Pre-school/Daycare,1,12385,88,1,100,51.1,3354,91280,248.2,43.4
Pre-school/Daycare,1,21728,23,1,100,56,6207.4,174240,738.6,83.4
Manufacturing/Industrial Plant,0,112800,56,1,100,25.6,20763.4,195854.5,334.8,174.2
Multifamily Housing,0,59197,47,1,100,73.2,6449.9,1078523.7,5469,346.5
Multifamily Housing,0,249636,4,1,95,62.2,99169.6,1613454.9,7050.4,1000
Multifamily Housing,0,46614,4,1,95,73.2,17654.3,476590.5,1590.7,234.1
Multifamily Housing,0,143297,12,1,100,93.6,89178,1287187.3,6421,853.8
Multifamily Housing,0,235440,57,4,100,53.3,84712.9,1197241.7,9675.5,799.7
Multifamily Housing,0,25370,105,1,100,117.3,25685.8,124199.4,2065.3,171.4
Hotel,0,75421,114,1,100,275.8,110424.8,2847630.8,5344.7,1412.4
Multifamily Housing,0,188941,15,1,100,102.1,138428.5,1581858.4,12125.4,1197.9
Residential Care Facility,0,267126,52,1,95,106.1,4915.4,2373448.4,31655.4,2024.1
Multifamily Housing,0,156500,33,1,100,149.8,171181,1798186.7,8462.3,1443.1
Mixed Use Property,0,530936,52,1,100,74.5,216962.9,4114018.1,7544.8,2643.5
Multifamily Housing,0,68088,89,1,95,90.3,52138.9,327442.5,850.5,362.3
Office,0,55850,106,1,100,63.8,18129.2,500965.8,541.5,243.5
Multifamily Housing,0,59408,105,1,100,65.9,32509.1,188048.5,1431.8,228.6
Multifamily Housing,0,101222,3,1,100,56.6,41932.3,453352.6,4690.3,354.5
Multifamily Housing,0,110256,3,1,100,54.9,41385.5,559570.9,3913.1,383.8
Multifamily Housing,0,216000,65,2,100,86.4,7173.6,1007509.4,9874.8,1406.8
Food Service,0,55000,59,1,100,322.1,157207.6,585193.3,575.5,1004.1
Multifamily Housing,0,77300,69,1,100,128.9,85735.1,390216.8,5709.9,572.3
Multifamily Housing,0,65598,40,1,100,66.1,26652.7,476485.1,2490.8,282.8
Multifamily Housing,0,160896,90,1,100,76.2,97677.8,705638.9,3851.7,728.8
Multifamily Housing,0,100320,80,1,100,52.5,31303.8,600934,6592.9,346.5
Multifamily Housing,0,56788,114,1,100,81.4,39680,182710.7,2174.6,265.6
Office,0,70800,113,1,10,84.9,21171.3,1115304.1,3203.9,440.7
Multifamily Housing,0,55576,91,1,100,84,41399.6,151622.8,7305.5,264.4
Office,0,53077,28,1,100,86.4,11983.4,990654,1118.3,350.2
Multifamily Housing,0,320156,61,1,100,87.5,241527.9,1143783.2,15329.1,1612.7
Office,0,237200,119,1,10,72,42811.3,3729032.5,2618,1310.4
Multifamily Housing,0,67573,93,1,100,80.3,43615.3,206017.1,6184.9,318.5
Hotel,0,230654,93,1,100,67.5,22293.1,3911707.5,16808,1248.7
Multifamily Housing,0,61717,99,1,100,60.3,31172.8,170358.2,1627,216.5
Residence Hall/Dormitory,0,161500,51,1,100,11.1,27,523089,274.5,151.3
Hotel,0,59625,10,1,90,124.2,3660.2,811020,4264.8,538.3
Multifamily Housing,0,51399,29,1,100,126.8,43785.4,640477.7,3238,416
Senior Care Community,0,91405,40,1,100,211.3,71885,1134852.8,8199.4,1322.5
Multifamily Housing,0,165200,47,1,100,56.4,69288.3,681672.3,17857.5,571
Multifamily Housing,0,185127,89,1,100,69.6,100740.6,823103,6514,773.2
Multifamily Housing,0,172085,95,1,100,89.9,113328.8,1186056,6544.7,951.4
Multifamily Housing,0,97104,56,1,100,97.7,78442,471034.6,6621,555.5
Residence Hall/Dormitory,0,254889,16,1,100,98.8,154775.4,2706539.9,3186.2,1638.1
Multifamily Housing,0,60744,79,1,100,67.2,33905.4,195163.2,1967.9,238.3
College/University,0,232958,51,1,100,122.2,170990.6,2811081.7,6299.8,1831.1
Multifamily Housing,0,64895,92,1,100,102.3,50921.5,435862.5,7309.3,400.8
Multifamily Housing,0,52800,83,1,100,124.7,56063,277528.6,7509.7,380.3
Multifamily Housing,0,93000,91,1,100,90.3,75500.5,235492.7,8855.3,472
Multifamily Housing,0,70704,84,1,100,98.1,59367.5,307268.2,6209.6,402.5
Multifamily Housing,0,52800,92,1,100,73.8,32913,172227.1,2775.3,226.2
Multifamily Housing,0,97000,91,1,100,122.7,104305.8,415807.3,11318.7,677.8
Multifamily Housing,0,98000,91,1,100,110.7,95952.7,361944.9,12104.1,616.2
Multifamily Housing,0,62634,79,1,100,92.6,49496.5,238312.8,5004.1,334.4
Multifamily Housing,0,139808,92,1,100,99.9,123366.9,459150.2,9711.2,791.9
Office,0,233800,47,1,100,111,150730.5,3124181,3768.7,1717.2
Office,0,192850,47,1,100,97.7,101330.1,2516314.6,1942.7,1273.2
Multifamily Housing,0,87510,90,1,100,52.3,3864.2,410458.6,9712.5,346.7
Multifamily Housing,0,96126,92,1,100,111.5,90141.8,481078.5,10810.4,622
Multifamily Housing,0,105360,87,1,100,100.1,89814.3,440269,8920,609
Multifamily Housing,0,69969,92,1,100,93.1,55090.1,286033.6,7418.9,377.4
Multifamily Housing,0,99000,79,1,100,53.8,23127.7,421837.1,8137.7,362.3
Multifamily Housing,0,60000,94,1,100,27.5,2662.3,283403,6728.7,127.2
Multifamily Housing,0,94000,81,1,100,29.9,4897.2,427630.7,11456.4,214.1
Multifamily Housing,0,83910,94,1,100,20.6,5533.2,342809.9,7037.4,129
Multifamily Housing,0,87156,94,1,100,35.2,4212.3,379492,12674.2,232.6
Multifamily Housing,0,65418,80,1,100,35,2889.5,275990.6,6463.4,174
Multifamily Housing,0,65250,68,1,100,40.4,7555.8,321832.9,4963.7,191.5
Multifamily Housing,0,73794,95,1,100,25.2,7996.2,302408.5,6950.9,132.2
Multifamily Housing,0,73974,90,1,100,18.1,3349.8,287490.4,11276.1,102.9
Multifamily Housing,0,53575,83,1,100,35.2,12635.5,179222.4,4699.3,120
Multifamily Housing,0,66469,92,1,100,36.4,16928.7,209276.8,6570.4,151.7
Multifamily Housing,0,92988,88,1,100,106.6,86123.6,372102.9,9114.7,567.8
Multifamily Housing,0,106550,92,1,100,17.7,3305.9,164499.1,12588.7,138.7
Multifamily Housing,0,54001,94,1,100,28.5,1247.9,146088.1,4683.6,116.8
Multifamily Housing,0,72715,57,1,100,77.3,3282.3,394134.9,7037.6,428.4
Multifamily Housing,0,75821,60,1,100,94.5,59038.1,363091.8,7099.1,420.6
Multifamily Housing,0,153804,55,1,100,37.9,6874.5,459104.9,11823.8,439.2
Multifamily Housing,0,63378,90,1,100,40,7196.9,391163.8,10272.8,187.8
Multifamily Housing,0,145728,90,1,100,104.6,128744.9,665748.8,10756.6,883.6
Multifamily Housing,0,82800,87,1,100,92.8,62342.1,414292.4,9287.5,453.7
Multifamily Housing,0,181700,90,1,100,28.3,6442.5,647823.4,18129.8,391.1
Multifamily Housing,0,58542,14,1,100,64.4,13752.2,687150.8,1876.1,275.8
K-12 School,0,214344,47,1,100,170.6,308691.3,1613110,1135.5,2120.1
Worship Facility,0,110000,61,1,100,100.4,1018.9,1452343.3,843.1,869.1
Multifamily Housing,0,53500,81,1,100,60.9,27371.5,148318.3,1541.7,189.7
Multifamily Housing,0,52500,68,1,100,138.3,54814.6,519590.8,3361.7,442.1
Office,0,130500,89,1,100,82.5,52573.8,1581233.6,1264.2,742.6
Multifamily Housing,0,105000,82,1,100,75.6,66772.1,332693.5,3578.5,458.3
Multifamily Housing,0,134000,32,1,100,69.6,57762.6,1011800.9,3432.6,606.8
Multifamily Housing,0,105000,92,1,100,70.9,64900.6,308580.1,3427.8,428.6
0n-Refrigerated Warehouse,0,63138,59,1,100,67.6,4949.9,1099092.2,407,345.4
Multifamily Housing,0,62670,109,1,100,99.8,47314.4,436261,6293.1,380
Multifamily Housing,0,69654,64,1,100,75.9,43332.3,277306.4,4455.4,311.6
Multifamily Housing,0,167750,61,1,100,21.8,8811.8,797853.7,7200.7,282.2
Hotel,0,134645,10,1,90,70.5,46698.4,1399364.1,7885.7,656.5
Office,0,57820,105,1,100,119.7,24392.6,1296427.6,434.6,507.1
Multifamily Housing,0,64356,58,1,100,71,34915.4,224582.5,3283.9,273.6
Office,0,201002,99,1,100,41.7,30051.6,1573703.2,3383.4,615
College/University,0,165240,20,1,100,61.2,45007.8,1632437.9,426.4,713.5
College/University,0,152805,97,1,95,120.5,55166.6,3739731.1,1524.5,1384.4
Hotel,0,414861,30,1,90,61.4,128945.1,3654685.1,14760.4,1750.2
Multifamily Housing,0,36216,88,2,100,84.5,1476,145479.2,2091.6,229.3
Multifamily Housing,0,80000,78,1,100,61,1271.7,337937.4,3566.7,371.9
Multifamily Housing,0,142441,56,1,100,79.6,95140.2,508326.8,7128.2,658.1
Multifamily Housing,0,150931,58,1,100,78,62352.7,1571148.3,5313.9,796
Distribution Center,0,165500,102,1,100,33.7,28596.8,816928.7,940.3,384.9
Multifamily Housing,0,67589,8,1,100,60.6,10758,871797.3,2147.7,312.6
Multifamily Housing,0,60501,109,1,100,70.8,34770.4,216088.1,4097.5,251.2
Multifamily Housing,0,159015,19,1,100,84.8,103711.6,916733.3,10227.2,816.9
Multifamily Housing,0,60480,99,1,100,84,42250.7,243443.4,4123.5,296.8
Multifamily Housing,0,132451,61,1,100,64,60808.9,697271.6,7464.1,526.1
Multifamily Housing,0,82833,65,1,100,71.4,49727.4,264326.7,3552.5,343.3
Multifamily Housing,0,307693,14,1,100,70.1,102520.8,3269489.8,12757.3,1502.8
Multifamily Housing,0,59767,105,1,100,67.8,935.1,219657.8,1961.4,306.9
Multifamily Housing,0,50788,5,1,100,63.3,11639.3,595695.6,384.5,235.9
Multifamily Housing,0,145112,71,1,100,86.8,100633.3,597388.2,6168.7,743.9
Multifamily Housing,0,247995,3,1,100,57.5,103657.3,1108293.6,8336.3,880.5
Multifamily Housing,0,149226,30,1,100,87.6,104882,733128.6,10630.6,775.1
Multifamily Housing,0,86081,29,1,100,43.2,24382.1,381713.6,2569.6,239.3
Multifamily Housing,0,61108,4,1,100,53.1,23607,264632.6,2126.7,201.5
K-12 School,0,100000,105,1,100,72.5,53759.1,518555.7,4.2,441.4
K-12 School,1,148393,7,0,100,133,79663.7,3423909.5,16079.5,1418.6
Multifamily Housing,0,228193,33,1,100,78.3,93510.9,2455516.2,7361.6,1218.4
Multifamily Housing,0,67915,7,1,100,64.6,32246.3,346319.5,402.2,270.9
Multifamily Housing,0,148167,5,1,100,56.8,58941.2,739412.9,9346.8,528.2
Multifamily Housing,0,56807,129,1,100,85,30955,503830.7,2553.7,311
Multifamily Housing,0,93330,57,1,100,87.5,62540.5,571580.2,4281.2,496.7
Multifamily Housing,0,110570,56,1,100,92.4,3849.8,519733,4909.8,777.6
Multifamily Housing,0,63834,108,1,100,94.5,34365.4,774801.2,1812.9,404.3
Multifamily Housing,0,93580,64,1,100,95,73393.9,444014.9,3498.1,520.1
Multifamily Housing,0,125681,90,1,100,70.4,67263.2,607803.5,3647.6,536.5
Multifamily Housing,0,173289,34,1,100,94.2,8842.7,1470933.9,11294.1,1247.4
Multifamily Housing,0,166005,58,1,100,78.7,94091.4,1050440.4,5133.9,809
Multifamily Housing,0,91244,33,1,100,86.7,44344.4,1023711.9,5903.6,532.2
Multifamily Housing,0,175428,11,1,100,92.6,80260.5,2372524.6,7324.2,1121.4
Multifamily Housing,0,77770,94,1,100,42.7,14235.3,547864.3,2234,236.6
Multifamily Housing,0,80917,12,1,100,88.4,44603.6,771764.6,2895,464.3
Multifamily Housing,0,54100,81,1,100,94.9,45673.3,155899,3185.6,289.7
Worship Facility,0,76888,93,1,100,75.9,51953.6,177261.5,1010.4,329.1
Worship Facility,0,76888,93,1,100,75.9,51953.6,177261.5,1010.4,329.1
Multifamily Housing,0,70500,91,1,100,118.4,65884.6,500805.7,11196,498.4
Multifamily Housing,0,143000,7,1,100,58.2,52630.3,897982.6,4409.8,540.8
Hotel,0,82000,93,1,65,33.8,7847.7,574387.2,2147.3,210.1
Retail Store,0,125000,6,1,100,29.3,26075.6,317500,3590.6,229
Office,0,490000,72,1,100,95.5,178984.9,8358371.5,9548.7,3386.8
Retail Store,0,113000,18,1,100,66.3,6002,1976698.8,667.7,615.2
Retail Store,0,110000,13,1,100,61.3,24580.6,1260263.8,1444.4,494
Retail Store,0,154893,14,1,100,67,38371.4,1962460.4,1210.3,762.7
Parking,0,620067,12,2,100,2.4,2717,347875.9,208.7,115.8
Office,0,59000,67,1,100,105.6,18584,1272944.6,2302.5,468.7
Multifamily Housing,0,75004,90,1,100,89.3,57798.1,257330.5,6084.7,384.3
Multifamily Housing,0,62702,55,1,100,71.7,37991.2,193637.7,3299.3,260.2
Multifamily Housing,0,67000,52,1,100,138.8,62769,870800.4,7225.3,589
Multifamily Housing,0,67410,79,1,100,93,54317.7,240553.4,9932.5,359.1
Multifamily Housing,0,294821,6,1,100,58.6,125484.3,1342280.1,11458.1,1062.8
Senior Care Community,0,116702,3,1,100,129.3,69991.1,2384663.1,4902.3,1058.4
Multifamily Housing,0,56997,109,1,100,54.5,19667,326507.7,2061.2,200.9
Residence Hall/Dormitory,0,29000,113,1,100,94.2,16374.7,455186.2,813.7,219.4
Supermarket/Grocery Store,0,69625,3,1,100,288,73143.5,3757453.3,1313,1471.8
Multifamily Housing,0,142262,4,1,100,74.3,54792.4,1461697.7,2464.1,722
Hotel,0,142459,7,1,95,27.3,21017.8,516625.9,12447.9,263.6
Restaurant,0,56000,20,1,100,142.6,38666,1189079.4,3638.5,553.3
Multifamily Housing,0,66073,21,1,100,75.4,14138.7,1036797.9,1545.5,377
Multifamily Housing,0,86310,15,1,100,101.3,63971.7,714163.1,11248.4,541.5
Multifamily Housing,0,57400,88,1,90,30,16210.2,45503.7,789.7,96.3
Multifamily Housing,0,32774,20,1,100,104.8,28331.5,187587.7,2163.2,202.7
Multifamily Housing,0,601803,43,126,100,67.7,176352.6,6201260.9,48223.9,2753.4
Multifamily Housing,0,75586,32,1,100,71.1,43740.8,326083.1,7202.2,321.4
Multifamily Housing,0,120383,95,1,100,103.7,10200.9,833430.1,6810.5,944.2
Multifamily Housing,0,450503,41,1,100,141.6,525557.7,3386046.7,24167.7,3754.9
Multifamily Housing,0,212656,48,1,100,23.8,9992.2,1180184,7666.8,397.5
Multifamily Housing,0,114500,82,1,100,58,54982.1,333919.7,3052.8,389.6
Office,0,76520,94,1,0,24.8,0,56254.5,5.9,142.8
Multifamily Housing,0,77730,46,1,95,102.3,63247.9,515991.4,7469.4,478.1
Multifamily Housing,0,110000,56,1,100,94.7,88687.4,450161.6,7826.1,602
Multifamily Housing,0,202000,55,2,100,80.4,127070,761275,8910.8,965.3
Multifamily Housing,0,103000,51,1,100,120,98980.7,611840.8,8703.6,731.2
Multifamily Housing,0,137000,67,1,100,86,95368.4,505911.5,9105.7,693.7
Multifamily Housing,0,521748,3,1,100,61.4,158632.3,4824612.3,9814.2,2224.5
Office,0,109074,92,1,100,112.7,131.5,2098194.8,1121.3,987.7
Fitness Center/Health Club/Gym,0,55447,69,1,100,56.1,14103.1,482823.1,1505.4,218.1
Multifamily Housing,0,62000,97,1,100,74.8,1115.7,207615.7,1645.2,349.6
Multifamily Housing,0,58000,91,1,100,75.2,1139,261417.7,3150.4,330.7
Multifamily Housing,0,283000,92,1,100,62,3547.1,1059549.7,6699.3,1348.7
Multifamily Housing,0,66000,99,1,100,103.9,2340.1,203882.2,3227.1,517.8
Multifamily Housing,0,98000,103,1,100,71.7,1178.7,338974.8,2180.6,531.5
Multifamily Housing,0,112000,65,1,100,68,20397.8,390270.1,3208.4,536.9
Multifamily Housing,0,162000,57,1,100,79.4,107763,601177.9,6010.6,749.8
Multifamily Housing,0,62000,80,1,100,87.6,47561.1,187781.9,3630.1,309.2
Multifamily Housing,0,113924,114,6,100,72.8,65520.2,491625.2,4222,494.6
Senior Care Community,0,175000,27,1,100,136.6,160014,2228887.6,10861.7,1512.9
Multifamily Housing,0,64377,91,1,100,59,35771.1,60378.1,165555.5,208.1
Multifamily Housing,0,170500,73,1,100,75.9,56885,535814.3,4681.3,860.4
Office,0,97246,28,1,70,111.3,0,2036199.5,9606.4,845.9
Multifamily Housing,0,65379,93,1,100,92.2,49514.1,303532.7,6572.5,353.5
Multifamily Housing,0,24074,6,1,100,83.8,12733.4,216224.2,1198.4,130.8
Multifamily Housing,0,107735,5,1,100,52,39630.3,470791.6,3499.4,349.4
Multifamily Housing,0,100535,7,1,100,61.6,45928.9,455903.8,5174.5,379.3
Multifamily Housing,0,63965,6,1,100,59.9,28308.5,288919.6,2126.3,234.6
Multifamily Housing,0,73102,5,1,100,67.8,36746.6,360750.1,4644.7,302.7
Multifamily Housing,0,86123,6,1,100,50.6,30615,382425.6,3617.6,273.1
Multifamily Housing,0,55649,6,1,100,58.4,22949,284116.5,2262.3,203.8
Multifamily Housing,0,128379,62,1,100,83.7,73168.2,981988.2,7466.3,677.8
College/University,0,69388,99,1,100,94.3,6823.7,513093.3,1606.1,489.3
Multifamily Housing,0,73900,66,1,100,90.9,57175.2,281317.9,3498.6,387.9
College/University,0,57651,91,1,100,80.4,22298.7,696958.6,1836.5,321.7
Office,0,65148,15,1,100,111.9,24542.2,1413199.5,1475.5,541.5
Multifamily Housing,0,81900,66,1,100,80.6,56054.7,280420.1,3500.9,381.7
College/University,0,60099,110,1,100,44.4,16763.8,298164.7,347.6,174
Multifamily Housing,0,69148,105,1,100,108,63784.9,307425.6,5912,430.6
Senior Care Community,0,128900,18,2,100,104.9,62338.8,2152448.1,9092.2,954.2
Multifamily Housing,0,110000,95,1,100,83.4,46200,1334303.8,1637.9,631
Office,0,69000,84,1,95,118.9,43670.2,1094905.9,2070.6,555.5
Multifamily Housing,0,184758,93,1,100,69.9,1586.7,917099.3,4806.1,988
Multifamily Housing,0,267542,56,1,100,68.6,138820.8,1266521.6,7573.3,1115.7
Multifamily Housing,0,464100,88,1,100,85.6,11405.2,3314982.2,20998.6,2828.8
Multifamily Housing,0,548505,60,1,100,55.6,224357,2451034.2,16561.9,1886.2
Multifamily Housing,0,69100,3,1,100,61.6,30323,354393,1787.5,264.5
Hotel,0,59963,10,1,90,116.1,28910.2,1177892.9,22103.4,498.2
Hotel,0,73989,3,1,90,90.9,28221.6,1128337.1,6151.2,480.4
Hotel,0,28540,9,1,90,75.2,7836.5,387709.8,4177.1,156.9
Hotel,0,48002,8,1,90,111.1,18789.1,992988.6,4391.8,392.7
Hotel,0,33640,18,1,90,125.2,21949,590895.9,6868.6,287.3
Hotel,0,46400,39,1,90,62.1,10879.5,526174.9,3192.7,209.8
Hotel,0,103133,6,1,90,109.2,60227.9,1517598.2,6840.2,764.3
Multifamily Housing,0,82017,51,1,100,56.6,2033.5,484924.4,3310.9,358.1
Multifamily Housing,0,153588,44,1,100,140.3,176035.6,1121197.5,17687.8,1267.6
Multifamily Housing,0,58948,9,1,100,67,25464.2,413866.1,2044.4,255.4
Multifamily Housing,0,33300,6,1,100,68.6,18068.5,156688,1248.1,138.4
Multifamily Housing,0,190000,47,1,100,124.3,179194,1663693.1,15502.6,1439.2
Multifamily Housing,0,225723,14,1,100,66.8,116330.1,973529.9,8815.4,908.5
Multifamily Housing,0,61567,104,1,100,81,39621.9,292280.5,4383.4,297
Multifamily Housing,0,59118,111,1,100,81.9,39542.9,256366.2,3500.9,285
Multifamily Housing,0,44760,99,1,100,100.2,37210.6,235318.8,7820.9,264
Multifamily Housing,0,30450,99,1,100,87.9,772.3,126949.5,2066,201.5
Multifamily Housing,0,44525,99,1,100,76.2,28010.9,167937.9,1667,198.6
Medical Office,0,36515,33,1,80,117.1,21183.7,630000.9,174.3,295.1
Medical Office,0,36708,31,1,80,172.6,32609.7,882094.2,521.4,432.8
Urgent Care/Clinic/Other Outpatient,0,47265,12,1,80,159.8,38178.6,1075169.4,1812.4,518.5
Medical Office,0,45600,44,1,80,83.5,15018.8,666814.7,218.8,274.9
Medical Office,0,43788,34,1,80,135.4,26698.4,974684.4,911.1,420.3
College/University,0,113715,48,1,100,14.7,478,474400,1345.7,139.6
Multifamily Housing,0,116003,90,1,100,75.1,2453.4,532511.9,2880,660.6
Senior Care Community,0,125992,43,1,100,211.9,166437.2,2910395.9,14216,1734.6
Multifamily Housing,0,267018,41,1,95,77.6,161928.9,1269145,1906.8,1241.1
Strip Mall,0,154100,6,1,100,63,10495.4,2516170.8,1423.5,789
Multifamily Housing,0,53884,8,1,100,107,38832.5,558711.9,2811,367.7
Multifamily Housing,0,277200,45,1,100,103.3,115427.6,4998707.2,37182.7,2062.8
Multifamily Housing,0,146780,34,1,100,88.4,101737.5,844453.6,11367.4,782.4
Multifamily Housing,0,98955,4,1,100,93.6,76166.3,503559.1,5182.1,547.1
Multifamily Housing,0,43173,78,1,100,83.8,31660,133105.6,2226.4,206.5
Multifamily Housing,0,54000,19,6,100,192.4,85431.3,549686,1923.2,611.8
Multifamily Housing,0,112940,62,1,100,36.1,9711,893929.2,13080.4,314.9
Hotel,0,167280,117,1,100,73.2,41601.3,2340885.6,6559.7,905.2
Multifamily Housing,0,149760,79,1,100,52.1,68410.1,320647.3,3394.7,450
Multifamily Housing,0,37500,95,1,100,112.9,3224.1,198294.6,6547,314.5
Multifamily Housing,0,50000,49,1,90,77.7,32178.7,195837.5,3138.8,228
Multifamily Housing,0,44379,10,1,100,117.6,39015.3,372178.4,3338.6,318.4
Multifamily Housing,0,106415,60,1,100,88.1,6399.5,424897.9,11867.8,697.9
Multifamily Housing,0,63277,13,1,100,75.8,34023.2,416444,2154.4,300.4
Multifamily Housing,0,52000,89,1,100,155.3,72699.7,222492.3,7494,453.2
Multifamily Housing,0,57228,68,1,100,94.7,44028.9,228326.5,5836.3,317.4
Multifamily Housing,0,55000,61,1,100,90.1,41472.8,232414.1,3241.3,288.3
Multifamily Housing,0,76500,89,1,100,96.9,2563.9,376310.4,4078.9,558.2
Multifamily Housing,0,90950,69,1,100,86.2,65075.3,373502.3,7478.3,457.5
Multifamily Housing,0,100800,88,1,100,79.3,62969.5,320925.9,7008.1,471.4
Retail Store,0,139370,69,1,100,85.1,54773.9,1829142.9,338.7,827.5
Mixed Use Property,0,93880,69,1,100,62.6,20620.5,1110705.7,42.6,431.8
Multifamily Housing,0,139142,78,1,100,73.8,90098.8,345598.9,4899.7,583.8
Multifamily Housing,0,100000,77,1,100,95.1,71138.1,684788.6,4968.6,580.3
Multifamily Housing,0,88227,12,1,100,92.8,57500.4,692660.3,8591.4,511.3
Multifamily Housing,0,240000,22,1,100,93.5,160669.1,1812422.3,21956.1,1394.4
Multifamily Housing,0,115000,92,1,100,85.6,2268,345027.4,9170.1,747.6
Multifamily Housing,0,111300,54,1,100,87.4,71472.9,754763.1,8414.6,598.6
Immeuble à logements multiples,0,31757,19,1,100,101.1,23815.3,243420.6,2309,197.2
Multifamily Housing,0,56000,98,1,100,93.5,45301.6,198892.5,5023.2,300.1
Multifamily Housing,0,51080,104,1,100,92.2,9945.7,181423,3570.8,335.2
Multifamily Housing,0,474003,50,2,100,82.4,294003.2,2794499.6,35118.8,2375.6
Multifamily Housing,0,474003,50,2,100,82.4,294003.2,2794499.6,35118.8,2375.6
Multifamily Housing,0,67130,7,1,100,93.2,47835.7,442786,4762,380.5
Multifamily Housing,0,55000,94,1,100,90.3,38528.9,317624.2,4386.7,298.6
Multifamily Housing,0,50250,8,1,100,47.1,9205.6,423174,1586.4,171.4
College/University,0,27404,79,1,100,134.7,14518,210396.1,1031.1,250.8
Multifamily Housing,0,68670,91,1,100,99.5,57713.5,298075.2,13743.4,396
Multifamily Housing,0,112299,5,1,75,53.7,39948.6,597966.2,4943.1,386.1
Multifamily Housing,0,77452,7,1,100,55.7,29844,378032.9,3168.7,270.8
Hotel,0,170000,5,1,85,76.6,50607.3,2322483.7,53539.3,944.7
Multifamily Housing,0,83399,15,1,100,63.7,40989,344554,4476.3,320.2
Multifamily Housing,0,172409,55,1,100,99.6,110571.3,1776920.1,7374.3,1106.6
Hotel,0,61237,109,1,100,157,66367.9,861312,6403.3,604.1
Multifamily Housing,0,153045,92,1,100,33.1,4710.2,1342153.1,9151.7,414.8
Multifamily Housing,0,65388,8,1,100,63.3,30645.9,340521.7,5804.1,257
Refrigerated Warehouse,0,102250,67,1,100,121.6,94202.7,905096.6,358.7,757.9
Refrigerated Warehouse,0,102250,67,1,100,121.6,94202.7,905096.6,358.7,757.9
Strip Mall,0,154100,6,1,100,62.6,9976.9,2528778.6,1423.5,784.8
Multifamily Housing,0,345000,57,1,100,117,22069,1488590.8,35931.2,3003.1
Strip Mall,0,78820,34,1,100,14.2,94,326053.6,767.4,94.7
Multifamily Housing,0,28500,92,1,100,68.2,16437.5,102439.2,1161,114.5
Other,0,64521,9,1,100,65,30292.1,365162.5,2642.1,262
Multifamily Housing,0,58640,99,1,100,111.6,55153.5,312135.1,7081.5,382.3
Office,0,98664,94,1,100,40.5,931.7,337122.8,556.7,306.9
Multifamily Housing,0,159430,57,2,100,107,144710.9,725279.2,5336.6,985.9
Manufacturing/Industrial Plant,0,79985,62,1,100,35,17553.3,289352.6,280.9,180.6
Multifamily Housing,0,61100,36,1,100,48.9,19393.6,300396.8,1902.3,191.8
Hotel,0,176668,6,1,100,70.9,61750.2,1834192.3,7868,865.3
Multifamily Housing,0,58617,4,1,100,44.6,8487.8,509714.1,1649.7,194.5
Multifamily Housing,0,83424,4,1,100,67.6,38702.2,510641.9,5901.5,356
Multifamily Housing,0,58710,17,1,100,87.2,40402.4,322373.8,4068.7,307.1
Multifamily Housing,0,27691,108,1,100,63,13522.1,112986.1,1388.3,105.1
Multifamily Housing,0,67416,55,1,100,118.4,2990.4,314662.6,2956.3,604.9
Multifamily Housing,0,27592,113,1,100,106.7,25918.9,102204.8,1095.9,167.7
Multifamily Housing,0,130028,17,1,100,94,80192.5,1221739.1,4712.7,781.5
Senior Care Community,0,522998,98,3,100,187.7,745283.8,6958812.9,25492.9,5967.2
Multifamily Housing,0,49433,12,4,100,63.1,19230.4,339785.8,2247.9,203.1
Automobile Dealership,0,243960,52,1,100,59.9,69595.4,2169574,1567.2,1012.3
Worship Facility,0,62991,89,1,100,25.8,9478.3,189366.6,1969.3,106.7
Multifamily Housing,0,86883,111,1,100,38.5,4929.9,848219.4,3998.3,268
0n-Refrigerated Warehouse,0,80000,88,1,100,34.4,14542.5,359566.1,29.2,185.9
Multifamily Housing,0,97013,38,1,100,80.1,63014.2,446188.3,4219.8,461.9
0n-Refrigerated Warehouse,0,70700,50,1,100,37.4,15786.4,297735.1,564.7,172.8
K-12 School,0,98632,5,1,100,66.2,40804.1,763091.1,1018.1,429.2
Hotel,0,55411,5,1,100,103.2,20529.2,1053183.5,2873.3,419.3
Multifamily Housing,0,147685,58,1,90,112.8,28689.5,587746.6,14386.5,1105
Multifamily Housing,0,90462,60,1,90,99.8,16499.4,781192.1,6196,663.5
K-12 School,0,52903,57,1,100,68.6,24624.9,343464.5,2611.7,230.3
Multifamily Housing,0,58000,78,1,100,74.9,2904.3,224300.2,4832.4,324.5
Multifamily Housing,0,57551,7,1,100,66.2,27332.8,315632,3067.6,236.4
0n-Refrigerated Warehouse,0,203400,89,1,100,157.1,297151.7,656660.4,1802.4,1768.1
